"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.186147930E-1,-2.512199879E0,3.619999886E-1,-9.562999606E-1,2.712324066E0
8.286147930E-1,-1.859899998E0,2.489999980E-1,-9.660999775E-1,2.110587162E0
8.386147930E-1,-1.388799906E0,4.120000079E-2,-1.192299962E0,1.830858219E0
8.486147930E-1,-1.258199930E0,-6.430000067E-2,-1.343899965E0,1.842082699E0
8.586147930E-1,-1.600499988E0,-9.779999405E-2,-8.481999636E-1,1.814003370E0
8.686147930E-1,-1.538999915E0,-5.000000000E-1,7.081999779E-1,1.766371407E0
8.786147930E-1,9.528999925E-1,-1.305599928E0,1.149600029E0,1.983479214E0
8.886147930E-1,7.811999917E-1,-1.593999982E0,1.286899924E0,2.192537522E0
8.986147930E-1,-4.287999868E-1,-1.167699933E0,1.493699908E0,1.943844638E0
9.086132300E-1,8.119999617E-2,-6.044999957E-1,1.721999943E-1,6.337716641E-1
9.186147930E-1,2.039999887E-2,-5.936999917E-1,-1.121799946E0,1.269382117E0
9.286147930E-1,-4.950999916E-1,-9.125999808E-1,-1.218500018E0,1.600845096E0
9.386147930E-1,-5.769000053E-1,-8.808999658E-1,-3.592000008E-1,1.112574944E0
9.486147930E-1,-5.175999999E-1,-5.442000031E-1,2.554999888E-1,7.933118224E-1
9.586147930E-1,-2.335999906E-1,-4.989999905E-2,-1.465999931E-1,2.802686631E-1
9.686147930E-1,-4.640999734E-1,3.734000027E-1,-5.763999820E-1,8.288867755E-1
9.786147930E-1,-1.062099934E0,4.513999820E-1,-3.734000027E-1,1.212949205E0
9.886147930E-1,-9.825999737E-1,3.059999943E-1,2.727999985E-1,1.064687064E0
9.986147930E-1,-4.848999977E-1,9.649999440E-2,1.110399961E0,1.215495097E0
1.008614793E0,-4.629999772E-2,-1.965999901E-1,1.690999985E0,1.703019728E0
1.018614793E0,1.435000002E-1,-5.645999908E-1,1.844499946E0,1.934307486E0
1.028614793E0,1.935999990E-1,-4.614000022E-1,1.287099957E0,1.380940702E0
1.038614793E0,3.531999886E-1,5.570999980E-1,2.983999848E-1,7.239842475E-1
1.048614793E0,-1.006999984E-1,1.031499982E0,-4.388999939E-1,1.125506956E0
1.058614793E0,-1.022400022E0,4.217000008E-1,-1.336199999E0,1.734521009E0
1.068614793E0,-1.018999934E0,1.349999905E-1,-1.531299949E0,1.844306210E0
1.078613230E0,-5.023999810E-1,1.211999953E-1,-1.053900003E0,1.173797426E0
1.088613230E0,-3.030000031E-1,1.252999902E-1,-4.699999988E-1,5.730698808E-1
1.098613230E0,-6.459000111E-1,2.859999985E-2,1.906999946E-1,6.740706730E-1
1.108613230E0,-8.270999789E-1,-2.818000019E-1,-7.549999654E-2,8.770438220E-1
1.118613230E0,-2.515999973E-1,-3.085999787E-1,3.229999915E-2,3.994743990E-1
1.128613230E0,3.371999860E-1,-2.009999901E-1,-5.033999681E-1,6.383700764E-1
1.138614793E0,4.253000021E-1,-1.088999957E-1,-1.341499925E0,1.411510308E0
1.148613230E0,5.809999704E-1,-1.365000010E-1,-1.226999998E0,1.364449417E0
1.158613230E0,1.113099933E0,-4.059000015E-1,-7.066000104E-1,1.379503478E0
1.168613230E0,4.817999899E-1,-5.873000026E-1,6.549999714E-1,1.003034140E0
1.178613230E0,-9.481999874E-1,-2.847999930E-1,1.993699908E0,2.225990471E0
1.188613230E0,-2.084899902E0,1.272999942E-1,2.258399963E0,3.076261251E0
1.198613230E0,-2.767400026E0,3.262999952E-1,1.802599907E0,3.318786076E0
1.208613230E0,-2.329399824E0,4.181999862E-1,1.360700011E0,2.729926609E0
1.218613230E0,-1.646899939E0,4.553000033E-1,7.459999919E-1,1.864428462E0
1.228613230E0,-1.057600021E0,4.429999888E-1,3.885000050E-1,1.210660584E0
1.238614793E0,-8.904999495E-1,2.978999913E-1,6.283000112E-1,1.129820990E0
1.248613230E0,-4.529999793E-1,-3.649999946E-2,9.031999707E-1,1.011094169E0
1.258613230E0,1.590999961E-1,-5.159999728E-1,1.185199976E0,1.302408447E0
1.268614793E0,6.913999915E-1,-8.660999537E-1,1.231499910E0,1.656730246E0
1.278614793E0,1.185599923E0,-1.144799948E0,6.938999891E-1,1.788214555E0
1.288614793E0,1.509899974E0,-1.084699988E0,-5.839999765E-2,1.860049073E0
1.298614793E0,9.705999494E-1,-6.322000027E-1,-3.165999949E-1,1.200823327E0
1.308614793E0,3.310999870E-1,-1.706999987E-1,2.795000076E-1,4.657101515E-1
1.318614793E0,5.069999695E-1,-1.668999940E-1,7.895999551E-1,9.530858650E-1
1.328614793E0,1.920899987E0,-3.551000059E-1,1.585999966E0,2.516217134E0
1.338613230E0,3.231499910E0,-6.283000112E-1,2.681200027E0,4.245725634E0
1.348614793E0,2.900699854E0,-1.124999970E-1,2.196599960E0,3.640297691E0
1.358614793E0,2.295799971E0,1.222800016E0,1.753000021E-1,2.607041901E0
1.368614793E0,4.204999804E-1,1.965899944E0,-1.929299951E0,2.786356245E0
1.378614793E0,-9.911999702E-1,9.378999472E-1,-2.166499853E0,2.560440451E0
1.388614793E0,-4.528999925E-1,1.740999967E-1,-7.001000047E-1,8.518035152E-1
1.398614793E0,1.750399947E0,3.376999795E-1,9.793999791E-1,2.034002353E0
