"Time";"Trajectoire 1/0/X";"Trajectoire 1/0/Y"
"14,56";"-0,04953416";"181,2527"
"14,594";"-0,8746469";"181,2672"
"14,627";"-0,8751595";"181,2665"
"14,66";"-1,694003";"181,2725"
"14,693";"-1,693503";"181,262"
"14,727";"-2,511811";"181,2554"
"14,76";"-2,513853";"180,4391"
"14,793";"-2,521652";"180,45"
"14,827";"-3,350303";"180,4691"
"14,86";"-3,358107";"180,4792"
"14,893";"-4,189234";"180,4995"
"14,927";"-5,009177";"181,3252"
"14,96";"-5,82913";"181,3286"
"14,993";"-5,829104";"181,3319"
"15,027";"-6,648329";"182,1554"
"15,06";"-6,653274";"182,1488"
"15,093";"-7,486016";"182,1636"
"15,127";"-8,310845";"182,1819"
"15,16";"-8,307347";"183,0028"
"15,193";"-9,134147";"183,0029"
"15,227";"-9,140568";"183,002"
"15,26";"-9,973995";"183,0134"
"15,293";"-10,80349";"183,0287"
"15,327";"-11,62968";"183,0442"
"15,36";"-11,63401";"183,0513"
"15,393";"-12,46197";"183,0657"
"15,426";"-12,46448";"183,0721"
"15,46";"-12,46727";"183,0744"
"15,493";"-12,46988";"183,0717"
"15,526";"-12,47169";"183,0642"
"15,56";"-12,47151";"183,0547"
"15,593";"-12,47118";"183,0451"
"15,626";"-12,47349";"183,0356"
"15,66";"-12,47852";"183,0301"
"15,693";"-12,48412";"183,0243"
"15,726";"-12,4884";"183,0184"
"15,76";"-12,48987";"183,0122"
"15,793";"-12,49242";"183,0041"
"15,826";"-12,49674";"182,1852"
"15,86";"-12,49202";"182,195"
"15,893";"-11,66719";"182,1965"
"15,926";"-11,66281";"183,0132"
"15,96";"-11,65972";"183,0066"
"15,993";"-11,65595";"183,0088"
"16,026";"-11,6468";"183,8288"
"16,06";"-11,64461";"183,8246"
"16,093";"-11,64295";"183,8229"
"16,126";"-11,64497";"183,8208"
"16,159";"-11,65249";"183,8156"
"16,193";"-12,48197";"183,8127"
"16,226";"-12,49328";"182,9912"
"16,259";"-13,32123";"183,0025"
"16,293";"-13,32522";"183,0013"
"16,326";"-14,15338";"183,0001"
"16,359";"-14,16237";"182,1771"
"16,393";"-14,99175";"182,1874"
"16,426";"-14,99752";"182,1824"
"16,459";"-15,82908";"182,179"
"16,493";"-15,84268";"181,3508"
"16,526";"-16,6752";"181,3522"
"16,559";"-17,50227";"181,3495"
"16,593";"-17,50306";"181,356"
"16,626";"-18,33412";"180,5348"
"16,659";"-18,33254";"180,5323"
"16,693";"-18,33685";"180,5222"
"16,726";"-19,15494";"181,3515"
"16,759";"-19,14828";"181,3445"
"16,793";"-19,14131";"181,3407"
"16,826";"-19,13437";"181,3368"
"16,859";"-18,3044";"181,3271"
"16,892";"-18,30501";"181,3237"
"16,926";"-18,30572";"181,3211"
"16,959";"-19,13218";"181,3314"
"16,992";"-14,98507";"180,467"
"17,026";"-14,98416";"180,4668"
"17,059";"-14,98192";"180,4669"
"17,092";"-14,15372";"180,4554"
"17,126";"-14,15541";"180,4506"
"17,159";"-14,16098";"179,6293"
"17,192";"-14,15969";"179,6359"
"17,226";"-14,16012";"179,6366"
