"Time";"Marqueur 1/0/X";"Marqueur 1/0/Y"
"19,692";"-4";"73"
"19,725";"-4";"73"
"19,759";"-4";"74"
"19,792";"-4";"75"
"19,825";"-4";"76"
"19,858";"-4";"76"
"19,892";"-4";"77"
"19,925";"-3";"77"
"19,958";"-3";"77"
"19,992";"-2";"78"
"20,025";"-2";"78"
"20,058";"-2";"78"
"20,092";"-1";"78"
"20,125";"-1";"78"
"20,158";"-1";"79"
"20,192";"1,186096";"79,10931"
"20,225";"1,186096";"79,10931"
"20,258";"3,076813";"79,10931"
"20,292";"1,186096";"79,10931"
"20,325";"1,186096";"79,10931"
"20,358";"1,186096";"82"
"20,392";"3,967499";"85,78137"
"20,425";"2,076813";"78,21863"
"20,458";"0,1860962";"78,21863"
"20,492";"2,967499";"80,10931"
"20,525";"1,076813";"85,78137"
"20,558";"4,858185";"82"
"20,592";"4";"82"
"20,625";"4";"82"
"20,658";"3";"82"
"20,691";"3";"82"
"20,725";"3";"82"
"20,758";"3";"82"
"20,791";"3";"82"
"20,825";"3";"82"
"20,858";"3";"82"
"20,891";"3";"83"
"20,925";"3";"83"
"20,958";"3";"83"
"20,991";"3";"83"
"21,025";"3";"83"
"21,058";"3";"83"
"21,091";"3";"83"
"21,125";"3";"84"
"21,158";"3";"84"
"21,191";"3";"84"
"21,225";"3";"84"
"21,258";"4";"84"
"21,291";"4";"84"
"21,325";"4";"84"
"21,358";"5";"84"
"21,391";"5";"84"
"21,424";"6";"84"
"21,458";"7";"84"
"21,491";"8";"84"
"21,524";"9";"83"
"21,558";"10";"83"
"21,591";"11";"84"
"21,624";"12";"84"
"21,658";"13";"84"
"21,691";"14";"84"
"21,724";"15";"84"
"21,758";"16";"84"
"21,791";"15,9675";"83,10931"
"21,824";"15,07681";"85"
"21,858";"14,1861";"83,10931"
"21,891";"15,1861";"85"
"21,924";"16,1861";"81,21863"
"21,958";"19,07681";"81,21863"
"21,991";"19,07681";"83,10931"
"22,024";"18,1861";"81,21863"
"22,058";"18,1861";"82,10931"
"22,091";"18";"83"
"22,124";"18";"83"
"22,158";"18";"82"
"22,191";"18";"82"
"22,224";"18";"82"
"22,257";"17";"82"
"22,291";"17";"82"
"22,324";"17";"82"
"22,357";"17";"82"
"22,391";"17";"82"
"22,424";"17";"82"
"22,457";"17";"82"
"22,491";"19,9675";"83"
"22,524";"18,07681";"81,10931"
"22,557";"18";"82"
"22,591";"17,1861";"80,10931"
"22,624";"19,07681";"83,89069"
"22,657";"19";"84"
"22,691";"20";"84"
"22,724";"20";"85"
"22,757";"21";"85"
"22,791";"22";"85"
"22,824";"22";"85"
"22,857";"23";"85"
"22,891";"24";"86"
"22,924";"24";"86"
"22,957";"25";"86"
"22,991";"25";"85"
"23,024";"26";"85"
"23,057";"27";"85"
"23,09";"27";"84"
"23,124";"28";"84"
"23,157";"29";"83"
"23,19";"30";"83"
"23,224";"31";"84"
"23,257";"33";"86"
"23,29";"34,07681";"89,89069"
"23,324";"35,1861";"90,10931"
"23,357";"42,9675";"97,89069"
"23,39";"48,7489";"101,7814"
"23,424";"57,42099";"108,5628"
"23,457";"58,42099";"107,7814"
"23,49";"57,5303";"114,5627"
"23,524";"64,31161";"121,4535"
"23,557";"65,20239";"124,3441"
"23,59";"63";"126"
"23,624";"61";"126"
"23,657";"59";"126"
"23,69";"56";"125"
"23,724";"53";"124"
"23,757";"50";"122"
"23,79";"48";"120"
"23,824";"47";"119"
"23,857";"46";"118"
"23,89";"45";"117"
"23,923";"44";"117"
